,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
87,2,41,2,2003,5.665321617926698
88,2,42,2,2021,8.758272925844354
90,2,35,2,2021,3.900039816858124
91,3,74,2,1980,6.2241629532191105
92,4,68,2,1990,12.112608628571747
93,4,87,4,1952,7.304095597826741
94,4,87,4,1952,7.304095597826741
95,4,75,1,2010,3.7759754581122
96,4,103,2,2020,5.5362987541185245
97,4,133,2,2001,2.1630935026910407
98,4,105,4,1992,4.627809124287993
99,4,96,5,2016,3.0199873882277415
100,4,125,1,2011,2.950728658023147
101,2,34,5,1978,2.4656921514269445
102,3,52,1,2018,7.153095479774088
103,3,68,7,2019,7.153095479774088
104,3,67,4,2019,7.153095479774088
105,3,65,2,2004,7.153095479774088
107,4,115,1,1837,0.5971212879791641
109,4,94,2,2009,7.727643811926475
110,4,88,3,2020,7.304095597826741
111,4,90,-1,2010,5.366227568282904
112,4,82,2,2017,6.558459236390924
115,2,60,6,1980,1.151400209782773
116,2,46,1,2020,3.229503918362215
117,2,62,3,2020,3.229503918362215
118,2,60,8,1978,6.527557547589294
119,2,82,1,2020,1.4993440102972917
120,2,82,1,2020,1.4993440102972917
121,4,190,4,2020,2.707399459121268
124,3,68,2,1968,4.627809124287993
125,2,51,1,1,4.180902157560265
126,2,58,2,2019,4.627809124287993
127,2,35,2,2012,4.180902157560265
128,3,53,3,2013,8.060358697490658
129,2,33,1,2011,10.55949884993751
130,3,79,2,2011,0.33608526663220517
131,2,42,3,2008,4.627809124287993
132,3,90,2,1992,16.93552267741177
133,3,85,4,2011,2.950728658023147
134,3,57,4,2005,7.341600443143959
135,3,94,3,2010,4.627809124287993
136,2,51,1,2002,4.180902157560265
137,5,100,4,1983,8.157463171465084
138,2,48,3,2021,4.180902157560265
139,3,49,3,2014,2.950728658023147
140,2,53,5,2018,6.327538309738908
141,2,54,1,2021,4.180902157560265
142,2,62,1,2021,4.180902157560265
147,2,41,2,2011,4.627809124287993
148,5,113,4,1997,7.341600443143959
149,4,175,3,2018,4.627809124287993
150,2,60,2,2018,6.327538309738908
151,2,67,1,2008,7.341600443143959
152,3,84,5,2021,26.894131519743997
153,3,64,5,2021,26.894131519743997
154,2,55,3,2002,4.180902157560265
155,3,67,5,1994,4.627809124287993
156,4,95,2,2010,17.41971612183071
157,5,79,2,2021,4.627809124287993
158,3,60,2,2017,6.412357511311248
159,3,47,2,1999,2.950728658023147
160,4,87,3,1936,2.950728658023147
161,4,82,4,2020,4.627809124287993
162,2,54,2,2008,12.112608628571747
163,2,48,5,2011,4.48966661360998
164,2,38,2,2008,6.412357511311248
166,4,111,3,2002,4.627809124287993
168,4,105,6,1987,2.1630935026910407
169,4,100,2,1990,7.5308193890106905
170,2,40,1,2017,6.412357511311248
171,3,74,3,2004,3.0199873882277415
172,3,62,6,2021,3.028100804547556
173,2,120,1,1997,2.4656921514269445
174,2,47,2,2021,2.6496467107738804
175,2,58,5,2020,3.7759754581122
176,3,70,3,1980,2.670760515983161
177,3,85,2,2021,2.6496467107738804
178,3,46,3,1940,2.1630935026910407
179,2,49,1,1920,4.48966661360998
180,3,62,3,2019,3.229503918362215
181,3,96,3,1923,0.8372037712279973
183,3,64,1,1939,1.4548943184742773
184,3,71,11,1980,1.4993440102972917
185,2,50,4,1970,5.5362987541185245
186,3,196,1,2021,2.8931627895061047
189,4,257,3,2016,3.7759754581122
190,5,175,5,2020,4.627809124287993
192,6,173,5,1974,2.950728658023147
193,5,171,4,2000,2.8931627895061047
195,5,156,6,2012,3.229503918362215
197,5,170,1,2006,2.950728658023147
198,6,162,3,1964,3.764078274853733
200,4,141,4,1939,1.4548943184742773
201,4,149,2,1999,4.627809124287993
202,3,152,7,1968,1.4548943184742773
204,4,143,4,2021,5.5362987541185245
206,4,140,2,2008,1.4548943184742773
207,3,136,5,2020,4.627809124287993
208,4,133,1,1936,2.4656921514269445
209,3,128,5,2020,2.6496467107738804
210,4,128,4,2020,2.6496467107738804
211,4,131,1,1939,1.5042766095938493
213,3,126,2,2001,3.7759754581122
214,5,120,3,2010,3.7759754581122
217,6,116,3,2008,3.7759754581122
218,4,111,1,1954,2.4656921514269445
219,4,115,2,2004,4.627809124287993
220,6,110,3,1987,11.604486424870547
222,4,109,2,2020,2.950728658023147
223,4,109,5,2021,6.558459236390924
224,4,105,1,2020,3.0199873882277415
225,4,110,3,2018,3.7759754581122
228,4,100,2,1938,2.4656921514269445
229,4,106,2,2017,2.1630935026910407
232,4,102,2,2020,5.5362987541185245
234,4,100,5,1963,1.8357865205205397
235,3,97,1,1923,0.33608526663220517
237,4,98,4,2017,3.229503918362215
238,3,97,1,2009,3.0199873882277415
239,4,91,4,2010,5.665321617926698
240,4,94,4,2010,2.054488014985931
242,3,94,3,2010,3.7759754581122
244,4,89,1,2021,6.558459236390924
247,3,89,5,1980,5.938591758432152
